morph,llength,lwidth,elevation,lat,larea
foliosissimum,0.12442757837505208,-0.916290731874155,2.6825,38.7860218,-1.0334276287695934
foliosissimum,0.2468600779315258,-0.9288695140810151,2.6825,38.7860218,-0.9235739114199798
foliosissimum,0.3750059006234559,-0.6931471805599453,2.6825,38.7860218,-0.55970575520698
foliosissimum,0.6259384308664954,-0.6069694843188929,2.6825,38.7860218,-0.22259552872288801
foliosissimum,0.46624658036802336,-0.7940730991499059,2.6825,38.7860218,-0.569390994052373
foliosissimum,0.45107561936021673,-0.8209805520698302,2.6825,38.7860218,-0.6114694079801039
foliosissimum,0.6830968447064438,-0.4462871026284195,2.6825,38.7860218,-0.004754733192466034
foliosissimum,0.13758566295256314,-1.155182640156504,2.6825,38.7860218,-1.2591614524744315
foliosissimum,0.914288729203482,-0.23572233352106983,2.6825,38.7860218,0.4370019204119217
foliosissimum,0.4762341789963717,-1.1874435023747254,2.6825,38.7860218,-0.9527737986488442
foliosissimum,0.6097655716208943,-0.5447271754416722,2.6825,38.7860218,-0.17652607909126827
foliosissimum,0.6259384308664954,-0.843970070294529,2.6825,38.7860218,-0.4595961146985241
foliosissimum,0.131028262406404,-1.171182981502945,2.6825,38.7860218,-1.2817191943670316
foliosissimum,1.0314035389746596,-0.13926206733350766,2.6825,38.7860218,0.6505769963706616
foliosissimum,0.8049866624645121,-0.7621400513326111,2.6825,38.7860218,-0.19871786413858958
foliosissimum,0.9042181506398859,-0.4307829160924542,2.6825,38.7860218,0.23187075927694123
foliosissimum,0.23375373016237308,-1.0788096613719298,2.6825,38.7860218,-1.0866204064800473
foliosissimum,0.2468600779315258,-1.2039728043259361,2.6825,38.7860218,-1.1986772016649008
foliosissimum,0.9001613499442714,-0.34955747616986843,2.6825,38.7860218,0.3090393985039126
foliosissimum,0.5027934518671135,-0.9079919298859063,2.6825,38.7860218,-0.6467629532892833
foliosissimum,0.595166772015918,-0.9763946550589047,2.6825,38.7860218,-0.6227923583134771
foliosissimum,0.4865329314018642,-0.9330978510379939,2.6825,38.7860218,-0.6881293949066202
foliosissimum,0.6729444732424258,-0.843970070294529,2.6825,38.7860218,-0.4125900723225936
foliosissimum,0.9969486348916096,-0.5108256237659907,2.6825,38.7860218,0.24455853585512824
foliosissimum,0.1906203596086497,-1.2729656758128873,2.6825,38.7860218,-1.323909791474728
foliosissimum,0.7466879474879751,-0.5108256237659907,2.6825,38.7860218,-0.005702151548506155
foliosissimum,0.5877866649021191,-0.6539264674066639,2.6825,38.7860218,-0.30770427777503545
foliosissimum,0.4252677354043441,-0.941608539858445,2.6825,38.7860218,-0.7579052797245913
foliosissimum,0.06765864847381486,-1.1086626245216111,2.6825,38.7860218,-1.2825684513182867
foliosissimum,0.371563556432483,-1.1394342831883648,2.6825,38.7860218,-1.0094352020263724
foliosissimum,0.7793248768009977,-0.8915981192837836,2.6825,38.7860218,-0.3538377177532764
foliosissimum,0.3074846997479607,-0.8209805520698302,2.6825,38.7860218,-0.75506032759236
foliosissimum,0.5538851132264376,-1.0788096613719298,2.6825,38.7860218,-0.7664890234159828
foliosissimum,0.7975071958841882,-0.4155154439616658,2.6825,38.7860218,0.14042727665203195
foliosissimum,1.0043016091968684,-0.5447271754416722,2.6825,38.7860218,0.21800995848470586
foliosissimum,0.44468582126144574,-1.1086626245216111,2.6825,38.7860218,-0.9055412785306559
foliosissimum,0.5653138090500605,-0.4155154439616658,2.6825,38.7860218,-0.09176611018209588
foliosissimum,0.6097655716208943,-0.5978370007556204,2.6825,38.7860218,-0.22963590440521645
foliosissimum,0.26236426446749106,-1.171182981502945,2.6825,38.7860218,-1.1503831923059444
foliosissimum,0.8796267475025636,-0.4462871026284195,2.6825,38.7860218,0.19177516960365382
foliosissimum,0.5877866649021191,-0.5978370007556204,2.6825,38.7860218,-0.25161481112399187
foliosissimum,0.5933268452777344,-0.6733445532637656,2.6825,38.7860218,-0.3215821832565217
foliosissimum,0.7701082216960737,-0.5108256237659907,2.6825,38.7860218,0.017718122659592443
foliosissimum,0.5538851132264376,-0.916290731874155,2.6825,38.7860218,-0.6039700939182078
foliosissimum,0.4054651081081644,-0.916290731874155,2.6825,38.7860218,-0.752390099036481
foliosissimum,0.4574248470388755,-0.9942522733438669,2.6825,38.7860218,-0.778391901575482
foliosissimum,-0.11653381625595151,-1.7147984280919266,2.6825,38.7860218,-2.0728967196183685
foliosissimum,0.6931471805599453,-0.916290731874155,2.6825,38.7860218,-0.46470802658470023
foliosissimum,0.2700271372130602,-1.3093333199837622,2.6825,38.7860218,-1.2808706580411926
foliosissimum,0.7747271675523681,-0.23572233352106983,2.6825,38.7860218,0.29744035876080777
foliosissimum,0.4382549309311553,-0.616186139423817,2.6825,38.7860218,-0.4194956837631521
foliosissimum,0.6729444732424258,-0.9675840262617056,2.6825,38.7860218,-0.5362040282897702
foliosissimum,1.172482137234565,-0.6733445532637656,2.6825,38.7860218,0.25757310870030914
foliosissimum,0.4382549309311553,-0.8915981192837836,2.6825,38.7860218,-0.6949076636231188
foliosissimum,1.169381359556317,-0.342490308946776,2.6825,38.7860218,0.5853265753390505
foliosissimum,0.26236426446749106,-1.2729656758128873,2.6825,38.7860218,-1.2521658866158867
foliosissimum,0.8628899551470398,-0.6931471805599453,2.6825,38.7860218,-0.0718217006833959
